tick,bonds.long.interest,bonds.long.minimum,bonds.long.term,bonds.mid.interest,bonds.mid.minimum,bonds.mid.term,bonds.short.interest,bonds.short.minimum,bonds.short.term,cds.long.interest,cds.long.minimum,cds.long.term,cds.mid.interest,cds.mid.minimum,cds.mid.term,cds.short.interest,cds.short.minimum,cds.short.term,crop.adjusted,crop.value,fund.adjusted,fund.value,gold.adjusted,gold.value,savings.rate,stocks.1595.adjusted,stocks.1595.value,stocks.1667.adjusted,stocks.1667.value,stocks.1671.adjusted,stocks.1671.value,stocks.1673.adjusted,stocks.1673.value,stocks.1675.adjusted,stocks.1675.value,stocks.1677.adjusted,stocks.1677.value,stocks.1679.adjusted,stocks.1679.value,stocks.1681.adjusted,stocks.1681.value,stocks.1683.adjusted,stocks.1683.value,stocks.1685.adjusted,stocks.1685.value,stocks.1687.adjusted,stocks.1687.value,stocks.1689.adjusted,stocks.1689.value,stocks.1691.adjusted,stocks.1691.value,stocks.1693.adjusted,stocks.1693.value,stocks.1695.adjusted,stocks.1695.value,stocks.1699.adjusted,stocks.1699.value,stocks.1701.adjusted,stocks.1701.value,stocks.1703.adjusted,stocks.1703.value,stocks.1705.adjusted,stocks.1705.value,stocks.232.adjusted,stocks.232.value,stocks.280.adjusted,stocks.280.value,stocks.282.adjusted,stocks.282.value,stocks.283.adjusted,stocks.283.value,stocks.284.adjusted,stocks.284.value,stocks.287.adjusted,stocks.287.value,stocks.288.adjusted,stocks.288.value,stocks.289.adjusted,stocks.289.value,stocks.290.adjusted,stocks.290.value,stocks.291.adjusted,stocks.291.value,stocks.292.adjusted,stocks.292.value,stocks.297.adjusted,stocks.297.value,stocks.298.adjusted,stocks.298.value,stocks.300.adjusted,stocks.300.value,stocks.301.adjusted,stocks.301.value,stocks.302.adjusted,stocks.302.value,stocks.303.adjusted,stocks.303.value,stocks.304.adjusted,stocks.304.value,stocks.305.adjusted,stocks.305.value,stocks.306.adjusted,stocks.306.value,stocks.307.adjusted,stocks.307.value,stocks.45.adjusted,stocks.45.value
136,14.05,1000,120,14.37,500,60,15.04,250,12,21.27,1000,36,20.27,500,12,18.27,250,3,12.46,4.45,2273.42,811.53,1342.91,479.37,9.1744,,,,,,,,,,,,,,,,,,,6.1,2.18,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.66,9.88,,,,,,,,,,,,,,,,,,
137,13.46,1000,120,13.99,500,60,15.13,250,12,19.9,1000,36,18.9,500,12,16.9,250,3,11.22,4.04,2258.05,813.23,1275.45,459.35,9.8345,,,,,,,,,,,,,,,,,,,5.86,2.11,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46,10.25,,,,,,,,,,,,,,,,,,
138,14.04,1000,120,14.47,500,60,15.2,250,12,20.76,1000,36,19.76,500,12,17.76,250,3,2.17,0.79,360.34,131.21,1122.16,408.61,8.36,,,,,,,10.99,4,,,,,,,,,,,5.74,2.09,,,,,,,,,10.76,3.92,,,0,0,58.74,21.39,,,,,,,,,,,,,5.62,2.05,,,,,,,,,,,,,28.15,10.25,,,,,,,,,,,,,,,,,,
139,14.67,1000,120,15.24,500,60,16.12,250,12,20.96,1000,36,19.96,500,12,17.96,250,3,2.04,0.75,354.34,130.01,1119.91,410.91,9.9944,,,,,,,10.99,4.03,,,,,,,,,,,5.39,1.98,,,,,,,,,9.31,3.42,,,0,0,59.72,21.91,,,,,,,,,,,,,4.94,1.81,,,,,,,,,,,,,32.36,11.88,,,,,,,,,,,,,,,,,,
140,15.41,1000,120,16.12,500,60,17.06,250,12,19.84,1000,36,18.84,500,12,16.84,250,3,1.82,0.68,331.42,122.79,1198.67,444.1,9.2124,,,,,,,10.8,4,,,,,,,,,,,5.58,2.07,,,,,,,,,8.27,3.06,,,0,0,52.05,19.28,,,,,,,,,,,,,4.55,1.69,,,,,,,,,,,,,29.02,10.75,,,,,,,,,,,,,,,,,,
141,15.75,1000,120,16.13,500,60,16.59,250,12,18.39,1000,36,17.39,500,12,15.39,250,3,1.74,0.65,312.57,116.18,1177.33,437.6,10.7835,,,,,,,10.76,4,,,,,,,,,,,5.14,1.91,,,,,,,,,7.29,2.71,,,0,0,55.65,20.69,,,,,,,,,,,,,4.54,1.69,,,,,,,,,,,,,29.59,11,,,,,,,,,,,,,,,,,,
142,14.63,1000,120,14.78,500,60,14.31,250,12,15.48,1000,36,14.48,500,12,12.48,250,3,1.77,0.66,318.96,119.06,1105.63,412.71,9.1584,,,,,,,12.56,4.69,,,,,,,,,,,5.3,1.98,,,,,,,,,8.59,3.21,,,0,0,55.89,20.86,,,,,,,,,,,,,4.77,1.78,,,,,,,,,,,,,30.47,11.38,,,,,,,,,,,,,,,,,,
143,13.37,1000,120,13.11,500,60,12.13,250,12,15.49,1000,36,14.49,500,12,12.49,250,3,1.7,0.64,337.41,126.35,1095.67,410.3,7.6419,,,,,,,9.93,3.72,,,,,,,,,,,5.04,1.89,,,,,,,,,7.57,2.83,,,0,0,61.82,23.15,,,,,,,,,,,,,5.09,1.91,,,,,,,,,,,,,33.05,12.38,,,,,,,,,,,,,,,,,,
144,13.98,1000,120,13.97,500,60,13.35,250,12,16.51,1000,36,15.51,500,12,13.51,250,3,1.71,0.64,325.55,122.3,1022.05,383.95,8.4105,,,,,,,10.48,3.94,,,,,,,,,,,5.15,1.93,,,,,,,,,7.82,2.94,,,0,0,62.06,23.32,,,,,,,,,,,,,4.95,1.86,,,,,,,,,,,,,32.94,12.38,,,,,,,,,,,,,,,,,,
145,14.58,1000,120,14.79,500,60,15.08,250,12,18,1000,36,17,500,12,15,250,3,1.74,0.65,317.92,119.81,991.53,373.67,7.9924,,,,,,,9.95,3.75,,,,,,,,,,,5.01,1.89,,,,,,,,,8.57,3.23,,,0,0,60.47,22.79,,,,,,,,,,,,,4.98,1.88,,,,,,,,,,,,,30.85,11.63,,,,,,,,,,,,,,,,,,
